整数	せいすう	Integer
チラシ・びら	ちらし	Leaflet
徒歩5分	とほごふん	A Five Minute Walk
賃貸アパート	ちんたいあぱーと	A Rental Apartment
家賃	やちん	Monthly Rent
管理費	かんりひ	Caretaker Fee
無料・ただ	むりょう・ただ	No Charge
三階建て	さんかいだて	A Three Story Building
南向き	みなみむき	Facing The South
築10年	ちく10ねん	Being Built 10 Years Ago
自転車置き場	じてんしゃおきば	A Bicycle Parking Lot
マンション => 少し高級な感じがある集合住宅。分譲と賃貸がある。	まんしょん => すこしこうきゅうなかんじがあるしゅうごうじたく。ぶんじょうとちんたいがある。	Mansion => Rather high-class apartment. May be available for rental or purchase.
敷金	しききん=>家は部屋を借りる時に家主に預けておく保証金	Key money deposited with the owner as a guarantee when the contract is first taken out.
礼金	れいきん=>家や部屋を借りる時に家主に払う一時金。ない場合もある。	One time payment to the owner when we rent an apartment or house. In some cases this payment isn’t required.
1 LDK	L: リビング(居間)、D: ダイニング(食事の出来る場所)、K: キッチン(台所)、数字: LDK以外の部屋の数を表す。	L: Living, D: Dining, K: Kitchen, Number: Number of Rooms
広々としている	Spacious	ひろびろとしている
ナカメがいい	なかめがいい	Have a Good View
日当たりがいい	ひあたりがいい	Gets a Lot of Sunlight
人通りが多い	ひとどおりがおおい	There are lots of Pedestrians
一軒家・一戸建て	いっけんや・いっこだて	A Detached House
物干し	ものほし	A Clothesline
風呂場	ふろば	A Bathroom
洗面所	せんめんじょ	A Washroom
一人暮らし	ひとりぐらし	Live Alone
一人住まい	ひとりすまい	Living Alone
近所付き合い	きんじょつきあい	Relation with Neighbor
彼と付き合う	かれとつきあう	Go out with a Man
友達と付き合う	ともだちとつきあう	Go along with Friends
引越しの荷造りをする	ひっこしのにづくりをする	Pick up to Move
回覧板を回す	かいらんばんをまわす	Send a Bulletin around to Neighbors
この辺り	このあたり	This Neighberhood・Vicinity
この付近	このふきん	The Neighborhood・Vicinity
真ん前	まんまえ	The Very Font Of
真後ろ	まうしろ	The Very Back Of
真ん中	まんなか	The Very Middle Of
斜の前	ななのなめ	Catecorner to the Right (Left)
買い替える	かいかえる	Buy a New One for the Old One
家電製品	かでんせいひん	Electronic Appliances
省エネ	しょうえね	Energy Conservation
電気代を節約する	でんきだいをせつやくする	Reduce The Electricity Bill
ゴミが溜まる	ごみがたまる	Garbage Accumulates
リサイクルに出す	りさいくるにだす	Put Out for Recycling
不用品を処分する	ふようひんをしょぶんする	Get Rid of Clutter
ゴミを分別する	ごみをぶんべつする	Seperate Garbage
燃やせるゴミ	もやせるごみ	Burnable Garbage
可燃ゴミ	かねんごみ	Burnagle Garbage
燃えないゴミ	もえないごみ	Unburnable Garbage
燃やせないゴミ	もやせないごみ	Unburnable Garbage
生ゴミ	なまごみ	Kitchen Garbage
粗大ゴミ	そだいごみ	Large Size Garbage
資源ゴミ	しげんごみ	Recycle Garbage
指定のゴミ袋	していのごみぶくろ	Garbage Bag Specified by the City Government
ペットボトルをすすぐ	ぺっとぼとるをすすぐ	Rinse a Pet Bottle
ラベルをはがす	らべるをはがす	Peel the Label Off
ツールを貼る	つーるをはる	Put a Sticker On
アルミ缶をつぶす	あるみかんをつぶす	Crush The Almunium Can
古新聞を再利用する	ふるしんぶんをさいりようする	Reuse the Old Newspaper
水がもれる	みずがもれる	Water Leaks
水をもらす	みずをもらす	Let Water Leak
秘密がもれる	ひみつがもれる	A Secret Leaks Out
秘密をもらす	ひみつをもらす	Leak a Secret
こぼれる	こぼれる	Spill Out
段ボール箱	だんぼーるばこ	A Cardboard Box
ガムテープ	がむてーぷ	A Parcel Tape
肉などのトレイ	にくなどのとれい	A Styrofoam Tray
ポリ袋	ぷりぶくろ	A Plastic Bag
キャプ	きゃっぷ	A Bottle Top
良くいらっしゃいました	よくいらっしゃいました	Welcome! Please Come In
どうぞお上がり下さい	どうぞおがりください	Welcome! Please Come In
お邪魔します	おじゃまします	Thank You
